items,hedge,keys,size,p
202,1.465347,4,296,0.995833
203,1.458128,4,296,0.995833
204,1.45098,4,296,0.995833
205,1.463415,4,300,0.995833
206,1.456311,4,300,0.995833
207,1.449275,4,300,0.995833
208,1.461538,4,304,0.995833
209,1.454545,4,304,0.995833
210,1.447619,4,304,0.995833
211,1.459716,4,308,0.995833
212,1.45283,4,308,0.995833
213,1.446009,4,308,0.995833
214,1.457944,4,312,0.995833
215,1.451163,4,312,0.995833
216,1.444444,4,312,0.995833
217,1.456221,4,316,0.995833
218,1.449541,4,316,0.995833
219,1.442922,4,316,0.995833
220,1.454545,4,320,0.995833
221,1.447964,4,320,0.995833
222,1.441441,4,320,0.995833
223,1.452915,4,324,0.995833
224,1.446429,4,324,0.995833
225,1.44,4,324,0.995833
226,1.451327,4,328,0.995833
227,1.444934,4,328,0.995833
228,1.438596,4,328,0.995833
229,1.449782,4,332,0.995833
230,1.443478,4,332,0.995833
231,1.454545,4,336,0.995833
232,1.448276,4,336,0.995833
233,1.44206,4,336,0.995833
234,1.452991,4,340,0.995833
235,1.446809,4,340,0.995833
236,1.440678,4,340,0.995833
237,1.451477,4,344,0.995833
238,1.445378,4,344,0.995833
239,1.439331,4,344,0.995833
240,1.433333,4,344,0.995833
241,1.443983,4,348,0.995833
242,1.438017,4,348,0.995833
243,1.432099,4,348,0.995833
244,1.442623,4,352,0.995833
245,1.436735,4,352,0.995833
246,1.430894,4,352,0.995833
247,1.441296,4,356,0.995833
248,1.435484,4,356,0.995833
249,1.429719,4,356,0.995833
250,1.44,4,360,0.995833
251,1.434263,4,360,0.995833
252,1.428571,4,360,0.995833
253,1.438735,4,364,0.995833
254,1.433071,4,364,0.995833
255,1.427451,4,364,0.995833
256,1.4375,4,368,0.995833
257,1.431907,4,368,0.995833
258,1.44186,4,372,0.995833
259,1.436293,4,372,0.995833
260,1.430769,4,372,0.995833
261,1.440613,4,376,0.995833
262,1.435115,4,376,0.995833
263,1.429658,4,376,0.995833
264,1.439394,4,380,0.995833
265,1.433962,4,380,0.995833
266,1.428571,4,380,0.995833
267,1.423221,4,380,0.995833
268,1.432836,4,384,0.995833
269,1.427509,4,384,0.995833
270,1.437037,4,388,0.995833
271,1.431734,4,388,0.995833
272,1.426471,4,388,0.995833
273,1.435897,4,392,0.995833
274,1.430657,4,392,0.995833
275,1.425455,4,392,0.995833
276,1.42029,4,392,0.995833
277,1.429603,4,396,0.995833
278,1.42446,4,396,0.995833
279,1.433692,4,400,0.995833
280,1.428571,4,400,0.995833
281,1.423488,4,400,0.995833
282,1.432624,4,404,0.995833
283,1.427562,4,404,0.995833
284,1.422535,4,404,0.995833
285,1.431579,4,408,0.995833
286,1.426573,4,408,0.995833
287,1.421603,4,408,0.995833
288,1.430556,4,412,0.995833
289,1.425606,4,412,0.995833
290,1.42069,4,412,0.995833
291,1.429553,4,416,0.995833
292,1.424658,4,416,0.995833
293,1.433447,4,420,0.995833
294,1.428571,4,420,0.995833
295,1.423729,4,420,0.995833
296,1.418919,4,420,0.995833
297,1.427609,4,424,0.995833
298,1.422819,4,424,0.995833
299,1.41806,4,424,0.995833
300,1.426667,4,428,0.995833
301,1.421927,4,428,0.995833
302,1.417219,4,428,0.995833
303,1.425743,4,432,0.995833
304,1.421053,4,432,0.995833
305,1.416393,4,432,0.995833
306,1.424837,4,436,0.995833
307,1.420195,4,436,0.995833
308,1.415584,4,436,0.995833
309,1.423948,4,440,0.995833
310,1.419355,4,440,0.995833
311,1.414791,4,440,0.995833
312,1.423077,4,444,0.995833
313,1.41853,4,444,0.995833
314,1.414013,4,444,0.995833
315,1.422222,4,448,0.995833
316,1.417722,4,448,0.995833
317,1.413249,4,448,0.995833
318,1.421384,4,452,0.995833
319,1.416928,4,452,0.995833
320,1.4125,4,452,0.995833
321,1.420561,4,456,0.995833
322,1.416149,4,456,0.995833
323,1.411765,4,456,0.995833
324,1.419753,4,460,0.995833
325,1.415385,4,460,0.995833
326,1.411043,4,460,0.995833
327,1.41896,4,464,0.995833
328,1.414634,4,464,0.995833
329,1.410334,4,464,0.995833
330,1.418182,4,468,0.995833
331,1.413897,4,468,0.995833
332,1.421687,4,472,0.995833
333,1.417417,4,472,0.995833
334,1.413174,4,472,0.995833
335,1.408955,4,472,0.995833
336,1.416667,4,476,0.995833
337,1.412463,4,476,0.995833
338,1.408284,4,476,0.995833
339,1.415929,4,480,0.995833
340,1.411765,4,480,0.995833
341,1.407625,4,480,0.995833
342,1.415205,4,484,0.995833
343,1.411079,4,484,0.995833
344,1.418605,4,488,0.995833
345,1.414493,4,488,0.995833
346,1.410405,4,488,0.995833
347,1.417867,4,492,0.995833
348,1.413793,4,492,0.995833
349,1.409742,4,492,0.995833
350,1.405714,4,492,0.995833
351,1.413105,4,496,0.995833
352,1.409091,4,496,0.995833
353,1.416431,4,500,0.995833
354,1.412429,4,500,0.995833
355,1.408451,4,500,0.995833
356,1.404494,4,500,0.995833
357,1.411765,4,504,0.995833
358,1.407821,4,504,0.995833
359,1.4039,4,504,0.995833
360,1.411111,4,508,0.995833
361,1.407202,4,508,0.995833
362,1.414365,4,512,0.995833
363,1.410468,4,512,0.995833
364,1.406593,4,512,0.995833
365,1.413699,4,516,0.995833
366,1.409836,4,516,0.995833
367,1.405995,4,516,0.995833
368,1.402174,4,516,0.995833
369,1.409214,4,520,0.995833
370,1.405405,4,520,0.995833
371,1.412399,4,524,0.995833
372,1.408602,4,524,0.995833
373,1.404826,4,524,0.995833
374,1.411765,4,528,0.995833
375,1.408,4,528,0.995833
376,1.404255,4,528,0.995833
377,1.411141,4,532,0.995833
